Most_Used_Platform,Gender,Sum of Sleep_Hours_Per_Night,Sum of Addicted_Score
Facebook,Female,177.2,135
,Male,728.1,562
Facebook Total,,905.3,697
Instagram,Female,1201.8,1118
,Male,546.5,514
Instagram Total,,1748.3,1632
KakaoTalk,Female,84.6,72
KakaoTalk Total,,84.6,72
LINE,Female,100.2,36
LINE Total,,100.2,36
LinkedIn,Female,57.5,32
,Male,95.5,48
LinkedIn Total,,153,80
Snapchat,Female,45.4,60
,Male,28.8,37
Snapchat Total,,74.2,97
TikTok,Female,532.4,647
,Male,447.5,497
TikTok Total,,979.9,1144
Twitter,Female,113.8,88
,Male,99.4,77
Twitter Total,,213.2,165
VKontakte,Male,93,60
VKontakte Total,,93,60
WeChat,Female,26.9,28
,Male,83.5,63
WeChat Total,,110.4,91
WhatsApp,Female,66.3,84
,Male,250.7,319
WhatsApp Total,,317,403
YouTube,Male,63.5,61
YouTube Total,,63.5,61
(blank),(blank),,
(blank) Total,,,
Grand Total,,4842.6,4538
